,Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
0,1,2003,NBA,1,1,CLE,LeBron James,18.182,F-G,us,,2004,2018,1143,38.8,27.2,7.4,7.2,1.6,0.8,.504,.547,.344,.739,219.4,.238
1,2,1997,NBA,1,1,SAS,Tim Duncan,21.066,F-C,vi,Wake Forest University,1998,2016,1392,34.0,19.0,10.8,3.0,0.7,2.2,.506,.509,.179,.696,206.4,.209
2,3,1998,NBA,1,9,MIL,Dirk Nowitzki,20.010,F,de,,1999,2018,1471,34.4,21.2,7.7,2.5,0.8,0.9,.472,.497,.383,.879,206.1,.196
3,4,1995,NBA,1,5,MIN,Kevin Garnett,19.044,F-C,us,,1996,2016,1462,34.5,17.8,10.0,3.7,1.3,1.4,.497,.504,.275,.789,191.4,.182
4,5,1992,NBA,1,1,ORL,Shaquille O'Neal,20.115,C,us,Louisiana State University,1993,2011,1207,34.7,23.7,10.9,2.5,0.6,2.3,.582,.583,.045,.527,181.7,.208
5,6,1996,NBA,1,13,CHH,Kobe Bryant,17.312,G-F,us,,1997,2016,1346,36.1,25.0,5.2,4.7,1.4,0.5,.447,.479,.329,.837,172.7,.170
6,7,2005,NBA,1,4,NOH,Chris Paul,20.058,G,us,Wake Forest University,2006,2018,892,35.3,18.7,4.5,9.8,2.3,0.1,.472,.505,.372,.868,164.8,.251
7,8,1998,NBA,1,10,BOS,Paul Pierce,20.259,F-G,us,University of Kansas,1999,2017,1343,34.2,19.7,5.6,3.5,1.3,0.6,.445,.478,.368,.806,150.0,.157
8,9,1996,NBA,1,5,MIN,Ray Allen,20.347,G,us,University of Connecticut,1997,2014,1300,35.6,18.9,4.1,3.4,1.1,0.2,.452,.485,.400,.894,145.1,.150
9,10,2001,NBA,1,3,ATL,Pau Gasol,20.361,F-C,es,,2002,2018,1196,34.0,17.4,9.3,3.2,0.5,1.6,.508,.512,.366,.754,143.0,.169
10,11,1994,NBA,1,2,DAL,Jason Kidd,21.103,G,us,University of California,1995,2013,1391,36.0,12.6,6.3,8.7,1.9,0.3,.400,.429,.349,.785,138.6,.133
11,12,2007,NBA,1,2,SEA,Kevin Durant,18.276,F-G,us,University of Texas at Austin,2008,2018,771,37.1,27.1,7.1,3.9,1.2,1.1,.490,.527,.384,.882,130.2,.219
12,13,1996,NBA,1,15,PHO,Steve Nash,22.145,G,za,Santa Clara University,1997,2014,1217,31.3,14.3,3.0,8.5,0.7,0.1,.490,.518,.428,.904,129.7,.164
13,14,2004,NBA,1,1,ORL,Dwight Howard,18.203,C,us,,2005,2018,1035,34.5,17.4,12.7,1.5,0.9,2.0,.583,.585,.095,.566,128.3,.172
14,15,1999,NBA,1,9,PHO,Shawn Marion,21.059,F,us,"University of Nevada, Las Vegas",2000,2015,1163,34.5,15.2,8.7,1.9,1.5,1.1,.484,.513,.331,.810,124.9,.150
15,16,1998,NBA,1,5,GSW,Vince Carter,21.154,G-F,us,University of North Carolina,1999,2018,1405,31.4,17.7,4.5,3.3,1.0,0.6,.437,.461,.373,.799,123.5,.134
16,17,1997,NBA,1,3,BOS,Chauncey Billups,20.278,G,us,University of Colorado,1998,2014,1043,31.6,15.2,2.9,5.4,1.0,0.2,.415,.435,.387,.894,120.8,.176
17,18,2003,NBA,1,5,MIA,Dwyane Wade,21.165,G,us,Marquette University,2004,2018,982,34.5,22.5,4.7,5.5,1.6,0.9,.483,.504,.287,.767,118.3,.168
18,19,2001,NBA,1,28,SAS,Tony Parker,19.046,G,be,,2002,2018,1198,31.1,15.8,2.8,5.7,0.9,0.1,.492,.511,.326,.752,110.4,.142
19,20,1999,NBA,1,1,CHI,Elton Brand,20.116,F,us,Duke University,2000,2016,1058,33.0,15.9,8.5,2.1,0.9,1.7,.500,.501,.095,.736,109.6,.151
22,21,2009,NBA,1,3,OKC,James Harden,19.308,G,us,Arizona State University,2010,2018,687,33.8,23.0,5.1,6.1,1.5,0.5,.443,.503,.364,.854,106.7,.220
23,22,1999,NBA,2,57,SAS,Manu Ginobili,21.342,G,ar,,2003,2018,1057,25.4,13.3,3.5,3.8,1.3,0.3,.447,.498,.369,.827,106.4,.190
24,23,2003,NBA,1,4,TOR,Chris Bosh,19.098,F-C,us,Georgia Institute of Technology,2004,2016,893,35.8,19.2,8.5,2.0,0.8,1.0,.494,.506,.335,.799,106.0,.159
25,24,1995,NBA,1,4,WSB,Rasheed Wallace,20.289,F-C,us,University of North Carolina,1996,2013,1109,32.7,14.4,6.7,1.8,1.0,1.3,.467,.508,.336,.721,105.1,.139
26,25,1999,NBA,1,10,ATL,Jason Terry,21.293,G,us,University of Arizona,2000,2018,1410,29.8,13.4,2.3,3.8,1.1,0.2,.444,.484,.380,.845,102.0,.116
27,26,1999,NBA,1,8,CLE,Andre Miller,23.108,G,us,University of Utah,2000,2016,1304,30.9,12.5,3.7,6.5,1.2,0.2,.461,.478,.217,.807,100.8,.120
28,27,2003,NBA,1,3,DEN,Carmelo Anthony,19.032,F,us,Syracuse University,2004,2018,1054,35.9,24.1,6.5,3.0,1.0,0.5,.449,.473,.347,.812,100.7,.128
29,28,1994,NBA,1,10,LAL,Eddie Jones,22.258,G-F,us,Temple University,1995,2008,954,34.4,14.8,4.0,2.9,1.7,0.6,.437,.474,.373,.809,100.6,.147
30,29,1994,NBA,1,3,DET,Grant Hill,21.272,F-G,us,Duke University,1995,2013,1026,33.9,16.7,6.0,4.1,1.2,0.6,.483,.493,.314,.769,99.9,.138
31,30,2001,NBA,1,2,LAC,Tyson Chandler,18.273,C,us,,2002,2018,1079,28.3,8.6,9.4,0.9,0.6,1.2,.596,.597,.000,.646,99.4,.156
32,31,1996,NBA,1,1,PHI,Allen Iverson,21.025,G,us,Georgetown University,1997,2010,914,41.1,26.7,3.7,6.2,2.2,0.2,.425,.448,.313,.780,99.0,.126
33,32,2006,NBA,1,2,CHI,LaMarcus Aldridge,20.349,F-C,us,University of Texas at Austin,2007,2018,869,34.6,19.4,8.3,1.9,0.8,1.1,.489,.494,.288,.806,97.6,.156
